word-1	word-2	GS_value	Similar by path	LCS path	Similar by L&C	LCS L&C	Similar by W&P	LCS W&P	Similar by R	LCS R	Similar by L	LCS L	Similar by J&C	LCS J&C
heuvel	fornuis	0.0	0.1111111111111111	nld-21-d_n-28590-n	1.2039728043259361	nld-21-d_n-28590-n	0.2	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.20756398370470622	nld-21-d_n-28590-n	0.04270667106524285	nld-21-d_n-28590-n
handtekening	oever	0.024390243902439025	0.1	nld-21-d_n-28590-n	1.0986122886681098	nld-21-d_n-28590-n	0.18181818181818182	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.22556595455938172	nld-21-d_n-28590-n	0.04748943934027005	nld-21-d_n-28590-n
morgen	draadje	0.025	0.1111111111111111	nld-21-d_n-28590-n	1.2039728043259361	nld-21-d_n-28590-n	0.2	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
koord	glimlach	0.05	0.14285714285714285	nld-21-d_n-28590-n	1.455287232606842	nld-21-d_n-28590-n	0.25	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
grijns	werktuig	0.05	0.1	nld-21-d_n-28590-n	1.0986122886681098	nld-21-d_n-28590-n	0.18181818181818182	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
hen	reis	0.10526315789473684	0.08333333333333333	nld-21-d_n-28590-n	0.916290731874155	nld-21-d_n-28590-n	0.15384615384615385	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2594953103608376	nld-21-d_n-28590-n	0.05713597318528344	nld-21-d_n-28590-n
inrichting	fruit	0.14634146341463414	0.16666666666666666	nld-21-d_n-28590-n	1.6094379124341003	nld-21-d_n-28590-n	0.4	nld-21-d_n-41480-n	7.558165616452798	nld-21-d_n-41480-n	0.6309291406143237	nld-21-d_n-41480-n	0.11309005902454701	nld-21-d_n-41480-n
kerkhof	gekkenhuis	0.35	0.16666666666666666	nld-21-d_n-24488-n	1.6094379124341003	nld-21-d_n-24488-n	0.4444444444444444	nld-21-d_n-24488-n	6.389403226051073	nld-21-d_n-24488-n	0.49360185715601856	nld-21-d_n-24488-n	0.07627713780828697	nld-21-d_n-24488-n
wagen	bed	0.35	0.16666666666666666	nld-21-d_n-31770-n	1.6094379124341003	nld-21-d_n-31770-n	0.5454545454545454	nld-21-d_n-31770-n	6.285283123401736	nld-21-d_n-31770-n	0.5376073882271749	nld-21-d_n-31770-n	0.09249100557672892	nld-21-d_n-31770-n
wagen	tovenaar	0.4864864864864865	0.08333333333333333	nld-21-d_n-24103-n	0.916290731874155	nld-21-d_n-24103-n	0.26666666666666666	nld-21-d_n-24103-n	5.342310028252222	nld-21-d_n-24103-n	0.40494476776355215	nld-21-d_n-24103-n	0.06369119983121434	nld-21-d_n-24103-n
bed	juweel	0.5121951219512195	0.25	nld-21-d_n-31770-n	2.0149030205422647	nld-21-d_n-31770-n	0.6666666666666666	nld-21-d_n-31770-n	6.285283123401736	nld-21-d_n-31770-n	0.34370016229712197	nld-21-d_n-17250-n	0.05405696097046272	nld-21-d_n-17250-n
fruit	oven	0.5128205128205128	0.14285714285714285	nld-21-d_n-28590-n	1.455287232606842	nld-21-d_n-28590-n	0.25	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2369134317497129	nld-21-d_n-28590-n	0.05062019374908365	nld-21-d_n-28590-n
jongen	hen	0.5365853658536586	0.14285714285714285	nld-21-d_n-10845-n	1.455287232606842	nld-21-d_n-10845-n	0.625	nld-21-d_n-10845-n	6.217350774706231	nld-21-d_n-10845-n	0.5436587456006036	nld-21-d_n-10845-n	0.09580789113009264	nld-21-d_n-10845-n
begraafplaats	woud	0.6	0.16666666666666666	nld-21-d_n-24488-n	1.6094379124341003	nld-21-d_n-24488-n	0.4444444444444444	nld-21-d_n-24488-n	6.389403226051073	nld-21-d_n-24488-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
inrichting	begraafplaats	0.6585365853658537	0.2	nld-21-d_n-28590-n	1.791759469228055	nld-21-d_n-28590-n	0.4444444444444444	nld-21-d_n-24488-n	6.389403226051073	nld-21-d_n-24488-n	0.49360185715601856	nld-21-d_n-24488-n	0.07627713780828697	nld-21-d_n-24488-n
inrichting	monnik	0.6756756756756757	0.08333333333333333	nld-21-d_n-28590-n	0.916290731874155	nld-21-d_n-28590-n	0.25	nld-21-d_n-24103-n	5.342310028252222	nld-21-d_n-24103-n	0.4557857519326137	nld-21-d_n-24103-n	0.07838478178264773	nld-21-d_n-24103-n
monnik	orakel	0.8048780487804879	0.25	nld-21-d_n-24443-n	2.0149030205422647	nld-21-d_n-24443-n	0.8421052631578947	nld-21-d_n-24443-n	6.314929282018136	nld-21-d_n-24443-n	0.0	nld-21-d_n-24443-n	0.0	nld-21-d_n-24443-n
begraafplaats	heuvel	0.825	0.2	nld-21-d_n-24488-n	1.791759469228055	nld-21-d_n-24488-n	0.5	nld-21-d_n-24488-n	6.389403226051073	nld-21-d_n-24488-n	0.45073570863125695	nld-21-d_n-24488-n	0.06421704355257879	nld-21-d_n-24488-n
oever	reis	0.926829268292683	0.1111111111111111	nld-21-d_n-28590-n	1.2039728043259361	nld-21-d_n-28590-n	0.2	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2529888349307766	nld-21-d_n-28590-n	0.05521819304665715	nld-21-d_n-28590-n
monnik	slaaf	0.9761904761904762	0.25	nld-21-d_n-24443-n	2.0149030205422647	nld-21-d_n-24443-n	0.8421052631578947	nld-21-d_n-24443-n	6.314929282018136	nld-21-d_n-24443-n	0.4918376183603914	nld-21-d_n-24443-n	0.07663386751775747	nld-21-d_n-24443-n
bos	kerkhof	0.9761904761904762	0.2	nld-21-d_n-28590-n	1.791759469228055	nld-21-d_n-28590-n	0.5	nld-21-d_n-24488-n	6.389403226051073	nld-21-d_n-24488-n	0.47364611293603465	nld-21-d_n-24488-n	0.07041835096466842	nld-21-d_n-24488-n
knul	tovenaar	1.024390243902439	0.2	nld-21-d_n-12603-n	1.791759469228055	nld-21-d_n-12603-n	0.7777777777777778	nld-21-d_n-12603-n	6.278930782850419	nld-21-d_n-12603-n	0.47024333869706764	nld-21-d_n-12603-n	0.07068553259653937	nld-21-d_n-12603-n
glas	magiër	1.0263157894736843	0.1	nld-21-d_n-24103-n	1.0986122886681098	nld-21-d_n-24103-n	0.3076923076923077	nld-21-d_n-24103-n	5.342310028252222	nld-21-d_n-24103-n	0.38520064981431446	nld-21-d_n-24103-n	0.05864007646750819	nld-21-d_n-24103-n
oven	werktuig	1.05	0.3333333333333333	nld-21-d_n-32526-n	2.3025850929940455	nld-21-d_n-32526-n	0.8461538461538461	nld-21-d_n-32526-n	6.710116350432524	nld-21-d_n-34275-n	0.6684127770582136	nld-21-d_n-34275-n	0.1502058714098492	nld-21-d_n-34275-n
heuvel	oever	1.146341463414634	0.125	nld-21-d_n-28590-n	1.3217558399823195	nld-21-d_n-28590-n	0.2222222222222222	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.22017948484249064	nld-21-d_n-28590-n	0.046035209479911146	nld-21-d_n-28590-n
